,cigever,cigtry,cigyfu,cig30av,cigage,alcever,alctry,alcyfu,aldaypwk,mjever,mjage,mjyfu,mrdaypwk,snfamjev,lsd,psilcy,dmtamtfxy,salviadiv,lsdage,lsdyfu,abusealc,abusemrj,dstngd30,suicthnk,yodprev,yowrage,yowrdbtr,yowrsthk,year,irpinc3,catag6,health,irwrkstat,ireduhighst2,newrace2,irsex,snrlgimp
12538,1,13,9999,1,999,2,991,9991,91,1,15,9999,93,1,91,91,91,91,991,9991,0,0,3,2,99,999,99,99,2019,1,2,2,2,7,5,2,2
12539,2,991,9991,91,991,1,14,9999,99,1,16,2018,99,99,91,91,91,91,991,9991,0,0,99,99,1,15,2,2,2019,1,1,2,4,7,7,1,99
12540,2,991,9991,91,991,1,15,9999,1,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,2,2,1,1,10,1,1,4
12541,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,999,99,99,2019,1,1,3,99,2,1,1,99
12542,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,2,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,1,2,3,3,7,7,2,3
12543,1,15,9999,4,18,1,18,9999,99,1,15,9999,99,1,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,4,3,3,1,8,1,1,3
12544,2,991,9991,91,991,1,17,9999,1,2,991,9991,91,1,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,3,3,4,4,8,7,1,3
12545,1,10,9999,93,16,1,14,9999,93,1,10,9999,2,1,91,91,91,91,991,9991,0,0,1,1,99,999,99,99,2019,1,3,3,4,8,1,2,1
12546,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,6,4,4,7,1,2,1
12547,1,12,9999,2,999,1,12,9999,3,1,9,9999,7,3,1,1,2,2,13,9999,1,0,5,2,99,999,99,99,2019,4,2,2,1,8,6,1,3
12548,1,16,9999,93,999,1,16,9999,99,2,991,9991,91,2,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,2,4,2,2,10,1,2,3
12549,1,23,9999,93,999,1,17,9999,99,1,35,9999,93,2,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,3,6,1,4,11,1,2,4
12550,1,16,9999,93,999,1,18,9999,7,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,7,4,3,1,8,1,1,97
12551,1,16,9999,7,16,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,6,4,2,1,9,1,1,3
12552,1,30,9999,1,999,1,22,9999,99,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,7,4,1,1,11,1,2,3
12553,1,15,9999,93,15,1,22,9999,99,1,25,9999,93,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,4,2,2,9,2,1,1
12554,2,991,9991,91,991,2,991,9991,91,1,16,9999,93,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,2,2,4,9,2,2,3
12555,2,991,9991,91,991,1,18,9999,99,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,2,3,2,1,11,7,2,1
12556,1,18,9999,93,999,1,20,9999,99,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,3,2,1,8,2,1,4
12557,1,29,9999,3,999,2,991,9991,91,1,12,9999,1,1,2,1,2,2,991,9991,0,0,1,2,99,999,99,99,2019,3,4,3,1,8,3,1,1
12558,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,2,2,1,9,7,2,1
12559,1,985,9985,93,999,2,991,9991,91,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,3,2,2,1,8,6,1,1
12560,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,2,2,99,999,99,99,2019,1,2,2,2,8,1,2,2
12561,1,15,9999,93,999,1,16,9999,2,1,17,9999,7,1,91,91,91,91,991,9991,0,0,3,2,99,999,99,99,2019,2,2,1,2,9,1,2,1
12562,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,2,99,4,7,1,99
12563,2,991,9991,91,991,1,20,9999,99,1,21,2018,99,1,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,4,2,3,1,9,6,1,1
12564,2,991,9991,91,991,1,19,9999,99,1,19,9999,93,1,1,2,2,1,21,9999,0,0,5,2,99,999,99,99,2019,1,3,2,4,9,7,2,4
12565,1,19,9999,93,999,1,23,9999,99,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,4,4,4,9,6,2,3
12566,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,3,1,99,999,99,99,2019,2,2,2,4,9,1,2,4
12567,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,2,3,4,6,7,2,94
12568,1,16,9999,93,16,1,15,9999,99,1,16,9999,93,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,4,5,3,1,9,1,1,4
12569,2,991,9991,91,991,1,18,9999,99,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,4,2,1,1,9,2,2,1
12570,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,2,3,4,9,2,1,2
12571,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,999,99,99,2019,1,1,1,3,7,7,1,99
12572,2,991,9991,91,991,1,15,9999,2,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,4,3,1,1,11,1,2,4
12573,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,4,5,3,4,11,2,2,4
12574,1,16,9999,93,999,1,16,9999,99,2,991,9991,91,3,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,5,6,2,2,11,1,2,4
12575,2,991,9991,91,991,1,21,9999,99,2,991,9991,91,2,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,3,2,2,11,5,2,4
12576,2,991,9991,91,991,1,17,9999,99,1,19,9999,99,1,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,4,2,2,2,9,1,1,2
12577,1,17,9999,93,999,1,21,9999,99,1,16,9999,99,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,6,4,2,4,11,7,2,4
12578,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,1,99,4,2,1,99
12579,1,14,9999,93,19,1,18,9999,99,1,16,9999,93,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,2,5,2,2,8,1,2,2
